descripcion|precio|tipo|ubicacion|fecha_publicacion|area|num_habitaciones
Renta/ Venta De Casa 4 Dormitorios Tumbaco|$ 270.000|Casa|Tumbaco, Valle Tumbaco|08 de abril|400m²|4 habitaciones
Venta Casa Sector Guamani Sur De Quito|$ 73.000|Casa|Guamaní, Sur De Quito|01 de abril|88m²|3 habitaciones
Venta Casa Sector Lumbisi|$ 380.000|Casa|Cumbaya, Valle Tumbaco|07 de abril|240m²|3 habitaciones
Espectacular Casa Minimalista, Urbanizacin Armenia, 410 Mtrs Construccin|$ 390.000|Casa|Conocoto, Valle Los Chillos|31 de marzo|410m²|3 habitaciones
Venta De Casas En Caldern En Conjunto Cerrado San Nicolas, Cerca A La Panamericana|$ 110.000|Casa|Calderón, Norte De Quito|23 de marzo|235m²|3 habitaciones
Venta De Casa, Sector Valle De Los Chillos|$ 90.000|Casa|Conocoto, Valle Los Chillos|29 de marzo|117m²|3 habitaciones
Venta De Casa En Conocoto La Macarena/Dentro De Conjunto Residencial|$ 72.100|Casa|Conocoto, Valle Los Chillos|29 de marzo|70m²|2 habitaciones
Venta Casa De 3 Dormitorios En Conjunto Sector Armenia|$ 75.000|Casa|Conocoto, Valle Los Chillos|25 de marzo|85m²|3 habitaciones
Hermosas Casas En Calderon De Venta|$ 85.000|Casa|Calderón, Norte De Quito|30 de marzo|110m²|3 habitaciones
Venta De Casa Sector Colegio Menor/ Cumbaya|$ 360.000|Casa|Cumbaya, Valle Tumbaco|14 de marzo|219m²|3 habitaciones
Venta Casa Conocoto Cerca A La Salle|$ 83.000|Casa|San Antonio De Pichincha, Norte De Quito|16 de marzo|96m²|3 habitaciones
Salida Al Tingo, Mirazierra, Propiedad De 1.500m2 De Terreno Y 140 De Construccin|$ 250.000|Casa|Alangasí, Valle Los Chillos|30 de marzo|140m²|3 habitaciones
Vendo Casa A Estrenar De 130mts Ubicada En Capelo.|$ 110.000|Casa|Quito|07 de abril|130m²|3 habitaciones
Casa De Venta $100.000 Sector San Antonio De Pichincha|$ 100.000|Casa|San Antonio De Pichincha, Norte De Quito|11 de abril|183m²|3 habitaciones
Venta De Hostal Sector La Mariscal|$ 1.390.000|Casa|Mariscal Sucre, Centro Norte|04 de abril|850m²|10 habitaciones
Hermosa Quinta Amoblada En Puembo|$ 950.000|Casa|Puembo, Valle Tumbaco|05 de abril|517m²|3 habitaciones
Casa En Venta Playa Chica Los Chillos|$ 299.963|Casa|Iñaquito, Centro Norte|07 de abril|869m²|4 habitaciones
Armenia Country Club Casa 3 Plantas|$ 135.000|Casa|Alangasí, Valle Los Chillos|14 de marzo|135m²|4 habitaciones
Casa Con Piscina Cubierta Valle De Los Chillos $430.000|$ 430.000|Casa|Alangasí, Valle Los Chillos|21 de marzo|600m²|5 habitaciones
Tanda Nayon Estrenar Casa|$ 290.000|Casa|Nayon - Tanda, Valle Tumbaco|20 de marzo|230m²|3 habitaciones
Venta De Casa En Ponceano Alto, Mariano Paredes|$ 400.000|Casa|Ponceano, Norte De Quito|23 de marzo|448m²|4 habitaciones
En Venta Amplia Casa Con 2 Departamentos Sector Carcelen Colegio Americano|$ 267.000|Casa|Carcelen, Norte De Quito|20 de marzo|380m²|6 habitaciones
Venta Amplia Casa De 4 Dormitorios Con Bao Sector El Bosque|$ 450.000|Casa|Quito Tenis, Cochapamba, Centro Norte|25 de marzo|540m²|4 habitaciones
De Venta Casas En Calderon, Hermosas Y Amplias|$ 85.000|Casa|Calderón, Norte De Quito|30 de marzo|110m²|3 habitaciones
Casa De Venta Con Patio Privado En Carapungo, Gran Aki, 3 Dormitorios|$ 85.000|Casa|Carapungo, Calderón, Norte De Quito|22 de marzo|83m²|3 habitaciones
Venta Casa Sector Mirasierra Cerca Av. Ilalo, San Rafael|$ 138.000|Casa|Alangasí, Valle Los Chillos|14 de marzo|157m²|3 habitaciones
Casa De Venta En Campo Alegre, Monteserrin|$ 1.900.000|Casa|Monteserrin, Jipijapa, Centro Norte|11 de abril|3000m²|5 habitaciones
Venta, Condado, Casa, Oportunidad, 460 M|$ 280.000|Casa|El Condado, Norte De Quito|31 de marzo|460m²|4 habitaciones
Casa En Venta V103 Carcelen Norte De Quito|$ 129.000|Casa|Carcelen, Norte De Quito|06 de abril|120m²|3 habitaciones
Tonsupa, Suite Amoblada En Venta, 60 M2|$ 58.000|Casa|Iñaquito, Centro Norte|11 de abril|60m²|1 habitacion
Casa En Venta En Sector Rumiloma|$ 77.000|Casa|Conocoto, Valle Los Chillos|08 de abril|175m²|3 habitaciones
Salida Al Tingo, Independiente, Terreno 2.116m2, Construccin 500m2|$ 550.000|Casa|Alangasí, Valle Los Chillos|30 de marzo|500m²|4 habitaciones
Venta De Casa Esquinera,114 M, Ubicada En Conocoto|$ 90.000|Casa|San Isidro Del Inca, Centro Norte|06 de abril|114m²|3 habitaciones
Casa En Venta La Internacional Ag. Elizabeth Paredes|$ 178.000|Casa|La Magdalena, Sur De Quito|07 de abril|300m²|2 habitaciones
Casa En Venta Localizada En Carretas Sector Uraba|$ 95.000|Casa|Comité Del Pueblo, Centro Norte|14 de marzo|120m²|3 habitaciones
Casa De Venta Caldern $50.000|$ 50.000|Casa|Calderón, Norte De Quito|11 de abril|90m²|3 habitaciones
Venta De Casa Rentera Sector Puente 7.|$ 98.000|Casa|Quitumbe, Sur De Quito|04 de abril|680m²|10 habitaciones
CXC Venta De Casa Carapungo Norte De Quito Exp.2346|$ 85.000|Casa|Belisario Quevedo, Centro Norte|07 de abril|162m²|3 habitaciones
Casa En Carcelen Cerca Del Colegio Einstein Y Centro Comercial Condado Shopping|$ 249.000|Casa|Carcelen, Norte De Quito|23 de marzo|210m²|3 habitaciones
Casa En Venta Urbanizacin La Pampa|$ 143.963|Casa|Belisario Quevedo, Centro Norte|06 de abril|162m²|4 habitaciones
Venta De Casa En Conjunto Sector La Amernia $125.000|$ 125.000|Casa|Alangasí, Valle Los Chillos|14 de marzo|150m²|3 habitaciones
Venta Casa Sector Las Casas|$ 115.000|Casa|Las Casas, Belisario Quevedo, Centro Norte|07 de abril|191m²|3 habitaciones
Casa De Venta En Arrayanes|$ 650.000|Casa|Puembo, Valle Tumbaco|23 de marzo|1560m²|3 habitaciones
Hermosa Casa Sector La Pulida, Zona Residencial, 3 Dormitorios, 2 Plantas|$ 84.000|Casa|Cochapamba, Centro Norte|20 de marzo|115m²|3 habitaciones
Venta Casa 4 Dormitorios Caldern Cerca A La Simn Bolvar|$ 110.000|Casa|Calderón, Norte De Quito|24 de marzo|186m²|4 habitaciones
Calderon En Venta Casa Esquinera Para Credito Vip|$ 69.990|Casa|Calderón, Norte De Quito|30 de marzo|93m²|3 habitaciones
Casa En Venta Sector Mirasierra Cerca Av Ilalo|$ 108.000|Casa|Alangasí, Valle Los Chillos|14 de marzo|117m²|3 habitaciones
Casa De Venta En Tumbaco, Urbanizacin Privada|$ 850.000|Casa|Tumbaco, Valle Tumbaco|11 de abril|3313m²|5 habitaciones
En Venta, Amplia Casa Con Excelentes Acabados, Sector El Bosque|$ 260.000|Casa|Quito Tenis, Cochapamba, Centro Norte|28 de marzo|250m²|3 habitaciones
Casa De Venta Junto A Balcones Del Norte|$ 119.000|Casa|Carcelen, Norte De Quito|10 de abril|117m²|3 habitaciones
Venta Casa Independiente,320mts, En Urbanizacin, Valles De Los Chillos.|$ 180.000|Casa|Rumipamba, Centro Norte|06 de abril|320m²|4 habitaciones
Venta Hermosa Casa Dentro De Conjunto Privado En Tumbaco Ag Corona Gaibor|$ 240.000|Casa|Tumbaco, Valle Tumbaco|31 de marzo|269m²|3 habitaciones
Casa En Venta Localizada En Angel Ludea Sector Hospital Pablo Arturo Suarez|$ 175.000|Casa|Cotocollao, Norte De Quito|14 de marzo|330m²|6 habitaciones
Venta De Casa Con 5 Departamentos En El Sector De Fundeporte.|$ 198.000|Casa|Quitumbe, Sur De Quito|04 de abril|480m²|10 habitaciones
CXC Venta De Casa / Sierra Hermosa / Norte De Quito / Exp.2347|$ 74.000|Casa|Belisario Quevedo, Centro Norte|31 de marzo|169m²|3 habitaciones
Casa En Venta En Tumbaco Quito|$ 185.990|Casa|Tumbaco, Valle Tumbaco|23 de marzo|170m²|3 habitaciones
Vendo Hermosas Casas Por Estrenar, Sector Ventura Mall, Cumbaya|$ 217.000|Casa|Cumbaya, Valle Tumbaco|01 de abril|200m²|3 habitaciones
Casa Terreno En Venta Italia Y Mariana|$ 535.000|Casa|Iñaquito, Centro Norte|02 de abril|756m²|10 habitaciones
Venta Casa Batan Bajo|$ 435.000|Casa|Iñaquito, Centro Norte|07 de abril|455m²|6 habitaciones
Casa Amplia De Venta, Sector Miravalle Cumbaya|$ 1.230.000|Casa|Mariscal Sucre, Centro Norte|23 de marzo|1100m²|4 habitaciones
Tumbaco! Hermosa Casa En Venta De 122m2 $125000|$ 125.000|Casa|Tumbaco, Valle Tumbaco|05 de abril|122m²|3 habitaciones
Calderon, Venta De Casa Amplia Credito Vip|$ 77.000|Casa|Calderón, Norte De Quito|30 de marzo|104m²|3 habitaciones
Casa En Venta En Cumbaya|$ 245.000|Casa|Alangasí, Valle Los Chillos|14 de marzo|214m²|3 habitaciones
Oportunidad De Precio Para Compra De Casa-Terreno|$ 175.000|Casa|Amaguaña, Sur De Quito|07 de abril|1012m²|6 habitaciones
Vendo Propiedad En Los Chillos, Sector Mirasierra, Tipo Rstica, 240m2 De Construccin, 350m2 De Terreno|$ 165.000|Casa|Alangasí, Valle Los Chillos|26 de marzo|240m²|4 habitaciones
Venta De Casa Independiente, 200 M, Ubicada En San Pedro De Taboada|$ 155.000|Casa|Conocoto, Valle Los Chillos|06 de abril|200m²|3 habitaciones
Vendo Casas En La Mitad Del Mundo Por Estrenar|$ 77.000|Casa|San Antonio De Pichincha, Norte De Quito|11 de abril|103m²|3 habitaciones
Casa En Venta En Cumbres De San Isidro Del Inca Ag. Ximena Ortiz|$ 110.000|Casa|San Isidro Del Inca, Centro Norte|28 de marzo|131m²|3 habitaciones
Venta De Casa Rentera Cerca Ala Universidad Tecnologica Equinoccial.|$ 470.000|Casa|Rumipamba, Centro Norte|04 de abril|540m²|7 habitaciones
CXC Venta De Casa Rentera / Carapungo / Quito Norte / Exp.2345|$ 68.000|Casa|Belisario Quevedo, Centro Norte|31 de marzo|233m²|4 habitaciones
Venta Casa Cumbaya Sector Santa Lucia, Atrs Del C.C. Plaza Cumbaya|$ 215.000|Casa|Cumbaya, Valle Tumbaco|29 de marzo|180m²|4 habitaciones
Venta Casa Sector Pinar Alto|$ 219.000|Casa|El Pinar, Concepción, Centro Norte|07 de abril|263m²|3 habitaciones
Venta Casa Valle De Los Chillos 233 M2 Mas Jardn 3 Dorm Mas Estudio Amplio En Conjunto No Adosada|$ 275.000|Casa|Alangasí, Valle Los Chillos|05 de abril|497m²|4 habitaciones
Casa Esquinera En Venta En Calderon|$ 69.990|Casa|Calderón, Norte De Quito|30 de marzo|93m²|3 habitaciones
Venta Casa 160 M2 Mas Jardn Y Balcn 45 M2 Parque La Moya, Conocoto Chillos|$ 139.700|Casa|Conocoto, Valle Los Chillos|17 de marzo|160m²|3 habitaciones
Casa En Venta En Cumbaya/ Sector El Nacional|$ 239.000|Casa|Tumbaco, Valle Tumbaco|14 de marzo|178m²|4 habitaciones
Casa De Venta Sector Academia Cotopaxi, Campo Alegre|$ 340.000|Casa|Jipijapa, Centro Norte|11 de abril|479m²|4 habitaciones
Casa Rentera, Reconstruida, Santa Prisca, 9 Dptos|$ 350.000|Casa|Iñaquito, Centro Norte|06 de abril|400m²|10 habitaciones
Casa De Venta Einstein, Carceln, Conjun|$ 210.000|Casa|Carcelen, Norte De Quito|03 de abril|275m²|4 habitaciones
Los Chillos, Conocoto, La Salle, Vendo Propiedad De 1.000m2 De Terreno Y 200m2 De Construccin|$ 170.000|Casa|Conocoto, Valle Los Chillos|22 de marzo|200m²|4 habitaciones
Vendo Casa De Oportunidad Mitad Del Mundo|$ 98.000|Casa|San Antonio De Pichincha, Norte De Quito|11 de abril|112m²|3 habitaciones
Vendo Acogedora Casa En San Pedro De Taboada Ag. Ximena Ortiz|$ 123.000|Casa|Kennedy, Centro Norte|28 de marzo|131m²|3 habitaciones
Amplia Casa De Venta Sector Norte La Pulida|$ 199.000|Casa|Comité Del Pueblo, Centro Norte|05 de abril|426m²|4 habitaciones
CXC Venta De 2 Casas / La Tola Alta / Centro / Exp.1056|$ 112.000|Casa|Belisario Quevedo, Centro Norte|31 de marzo|233m²|6 habitaciones
Casa En Venta Cumbaya / Reservorio / Usfq / 4 Dormitorios|$ 390.000|Casa|Cumbaya, Valle Tumbaco|06 de abril|370m²|4 habitaciones
Venta Casa Sector Jipijapa|$ 400.000|Casa|Jipijapa, Centro Norte|07 de abril|689m²|6 habitaciones
San Francisco De Tanda! Espectacular Casa En Venta, 200m2|$ 330.000|Casa|Nayon - Tanda, Valle Tumbaco|05 de abril|200m²|3 habitaciones
Casa En Venta En Calderon|$ 69.990|Casa|Calderón, Norte De Quito|30 de marzo|93m²|3 habitaciones
Casa. De Venta. Urbanizacin El Condado. 247m. 2 Plantas. Patio Privado. Jacuzzi.|$ 285.000|Casa|El Condado, Norte De Quito|17 de marzo|247m²|3 habitaciones
Carcelen Los Mastodontes Casa De Venta 4 Dormitorios Jardin|$ 140.000|Casa|Carcelen, Norte De Quito|05 de abril|330m²|4 habitaciones
Casa Quinta De Venta V098 En Checa|$ 230.000|Casa|Checa, Valle Tumbaco|06 de abril|106m²|2 habitaciones
Casa Remodela, Conjunto Privado,Marianitascaldern|$ 54.000|Casa|Calderón, Norte De Quito|06 de abril|115m²|3 habitaciones
Venta De Casa De 180mts Totales, Ubicada En La Armenia|$ 138.000|Casa|Conocoto, Valle Los Chillos|29 de marzo|180m²|4 habitaciones
Se Vende Hermosa Casa 140m2|$ 108.000|Casa|Pomasqui, Norte De Quito|11 de abril|140m²|4 habitaciones
Vendo Hermosa Casa En La Urbanizacin Exclusiva Ag. Wladimir Herrera|$ 230.000|Casa|Conocoto, Valle Los Chillos|25 de marzo|630m²|4 habitaciones
Venta De Casa En Cumbaya En Lo Ms Exclusivo|$ 750.000|Casa|Cumbaya, Valle Tumbaco|11 de abril|450m²|3 habitaciones
CXC Venta De Casa Rentera / Chillogallo / Sur De Quito / Exp.3369|$ 99.900|Casa|Belisario Quevedo, Centro Norte|30 de marzo|157m²|5 habitaciones
Venta De Casa En Av. La Maosca|$ 225.000|Casa|Rumipamba, Centro Norte|30 de marzo|226m²|5 habitaciones
Casa En Venta Sector Embajada Amricana|$ 148.693|Casa|Iñaquito, Centro Norte|19 de marzo|168m²|3 habitaciones
Vendo Casa Sector El Inca / Centro Norte De Quito|$ 110.000|Casa|Iñaquito, Centro Norte|29 de marzo|150m²|3 habitaciones
Venta De Casa Sector Tanda|$ 350.000|Casa|Nayon - Tanda, Valle Tumbaco|07 de abril|620m²|5 habitaciones
*Ciudadela Eden Del Valle!! Hermosa Casa De 132m2 En Venta!! Sector Puente Amarillo!|$ 58.000|Casa|Puengasí, Centro Colonial|04 de abril|132m²|3 habitaciones
Hermosas Casas De Venta En Quito Con Piscina|$ 69.590|Casa|Iñaquito, Centro Norte|30 de marzo|90m²|3 habitaciones
Casa De Venta Sector Chillogallo|$ 230.000|Casa|Chillogallo, Sur De Quito|06 de abril|566m²|6 habitaciones
Casa De Venta En El Einstein, Carceln|$ 165.000|Casa|Carcelen, Norte De Quito|18 de marzo|170m²|4 habitaciones
Ontaneda, Propiedad Comercial Y Rentera, 3 Casas Independientes, 7.390m2 De Terreno|$ 1.500.000|Casa|Conocoto, Valle Los Chillos|14 de marzo|1200m²|10 habitaciones
Venta De Quinta, Ubicada En Valle De Los Chillos,17654mts Totales.|$ 2.785.000|Casa|El Condado, Norte De Quito|27 de marzo|1765m²|5 habitaciones
Vendo Casa Nueva En Pifo Ag. Marjorie Salvador|$ 100.000|Casa|Pifo, Valle Tumbaco|25 de marzo|134m²|3 habitaciones
Venta Casa 3 Dormi, Va La Mitad Del Mundo, Posmaqui Oportunidad!|$ 70.000|Casa|Pomasqui, Norte De Quito|08 de abril|87m²|3 habitaciones
Hermosa Casa De Venta Sector La Pampa II|$ 167.224|Casa|Pomasqui, Norte De Quito|05 de abril|180m²|3 habitaciones
CXC Venta De Casa / El Dorado / Centro De Quito / Exp.1055|$ 84.000|Casa|Belisario Quevedo, Centro Norte|30 de marzo|154m²|3 habitaciones
Casa En Venta De Oportunidad, Sector El Inca Conjunto Residencial Cerca De La Embajada Americana|$ 145.000|Casa|Nayon - Tanda, Valle Tumbaco|18 de marzo|145m²|4 habitaciones
Casa De 3 Dormitorios En Obra Gris Sector La Pampa|$ 220.000|Casa|Pomasqui, Norte De Quito|16 de marzo|214m²|3 habitaciones
Casas De Venta En Calderon, Con Terraza Calderon|$ 87.000|Casa|Calderón, Norte De Quito|30 de marzo|110m²|3 habitaciones
Casa En Venta En Tanda 108 M2 Sector Cumbaya|$ 162.678|Casa|Rumipamba, Centro Norte|14 de marzo|191m²|2 habitaciones
Casa En Venta En Puembo, Los Arrayanes|$ 1.000.000|Casa|Puembo, Valle Tumbaco|31 de marzo|1120m²|4 habitaciones
Casa Rentera, Venta, Tres Departamentos, 200 M Total.|$ 70.000|Casa|El Condado, Norte De Quito|19 de marzo|200m²|6 habitaciones
Casa De Venta V130 Embajada Americana|$ 155.000|Casa|Kennedy, Centro Norte|04 de abril|170m²|3 habitaciones
Casa Rentera En Venta Sector San Jose De Moran Quito Norte Af1715|$ 70.000|Casa|Carcelen, Norte De Quito|04 de abril|100m²|6 habitaciones
Yaruqu Casa Independiente En Venta Con Terreno 5 Habitaciones 300 M2|$ 220.000|Casa|Yaruqui, Valle Tumbaco|07 de abril|300m²|6 habitaciones
Hermosa Casa En Conjunto Sector San Rafael|$ 120.000|Casa|Amaguaña, Sur De Quito|06 de abril|232m²|3 habitaciones
Vendo Casa Rentera De Oportunidad Jaime Roldos|$ 190.000|Casa|San Antonio De Pichincha, Norte De Quito|11 de abril|900m²|6 habitaciones
Venta / Renta Casa De 4 Dormi, Sector Cumbaya|$ 520.000|Casa|Cumbaya, Valle Tumbaco|08 de abril|700m²|4 habitaciones
Hermosa Casa De Venta Sector La Primavera|$ 264.000|Casa|Cumbaya, Valle Tumbaco|05 de abril|237m²|3 habitaciones
CXC Venta De Casa Local / Santo Thomas / Sur De Quito / Exp.3367|$ 85.000|Casa|Belisario Quevedo, Centro Norte|29 de marzo|192m²|4 habitaciones
Venta De Casa Ubicada En Pillagua Cumbaya|$ 520.000|Casa|Cumbaya, Valle Tumbaco|07 de abril|620m²|4 habitaciones
Venta Casa Cumbaya 145m Conjunto Con Piscina Gym 2 Plantas Mas Patio|$ 177.000|Casa|Cumbaya, Valle Tumbaco|06 de abril|145m²|3 habitaciones
Venta De Casa En Caldern, Para Credito Vip|$ 70.000|Casa|Calderón, Norte De Quito|30 de marzo|93m²|3 habitaciones
Casa En Venta En Cumbay 189 M2 Sector Tanda|$ 280.074|Casa|Rumipamba, Centro Norte|14 de marzo|280m²|3 habitaciones
Venta De Casa En La Via/ Tumbaco|$ 460.000|Casa|Tumbaco, Valle Tumbaco|31 de marzo|800m²|3 habitaciones
Venta, Casa Rentera Ciudadela La Paulina, Sector Chillogallo.|$ 148.000|Casa|Chillogallo, Sur De Quito|16 de marzo|293m²|7 habitaciones
